date,primary_type,district,arrest,year
2023-05-21 10:56:00+00:00,CRIMINAL DAMAGE,8,False,2023
2018-07-26 16:15:00+00:00,BATTERY,8,False,2018
2009-06-21 10:45:00+00:00,OTHER OFFENSE,8,False,2009
2018-03-17 07:00:00+00:00,MOTOR VEHICLE THEFT,8,False,2018
2017-03-18 21:46:00+00:00,OFFENSE INVOLVING CHILDREN,9,False,2017
2005-10-19 09:00:00+00:00,DECEPTIVE PRACTICE,9,False,2005
2022-05-31 11:00:00+00:00,CRIMINAL DAMAGE,9,False,2022
2021-08-23 02:47:00+00:00,BURGLARY,9,False,2021
2008-11-24 11:30:00+00:00,THEFT,9,False,2008
2004-07-18 20:45:00+00:00,NARCOTICS,10,True,2004
2005-12-24 02:20:00+00:00,BATTERY,10,False,2005
2003-09-27 02:00:00+00:00,BATTERY,10,False,2003
2008-01-13 16:26:23+00:00,MOTOR VEHICLE THEFT,10,False,2008
2002-07-23 17:25:01+00:00,NARCOTICS,10,True,2002
2004-09-16 18:00:00+00:00,THEFT,10,False,2004
2014-05-19 07:30:00+00:00,MOTOR VEHICLE THEFT,11,False,2014
2020-08-28 09:30:00+00:00,BATTERY,11,False,2020
2006-08-09 17:45:00+00:00,THEFT,11,False,2006
2009-06-07 00:00:00+00:00,CRIMINAL DAMAGE,11,False,2009
2004-02-13 16:01:00+00:00,BURGLARY,11,False,2004
2012-06-28 06:00:00+00:00,MOTOR VEHICLE THEFT,11,False,2012
2021-09-09 11:00:00+00:00,NARCOTICS,11,True,2021
2003-12-07 08:00:00+00:00,BURGLARY,12,False,2003
2005-02-01 22:00:00+00:00,CRIMINAL DAMAGE,12,False,2005
2002-04-14 22:31:04+00:00,BATTERY,14,False,2002
2021-10-24 18:30:00+00:00,THEFT,14,False,2021
2006-12-13 15:30:00+00:00,NARCOTICS,14,True,2006
2006-07-30 23:28:53+00:00,NARCOTICS,15,True,2006
2014-04-07 19:00:00+00:00,OTHER OFFENSE,16,False,2014
2015-08-17 18:00:00+00:00,THEFT,16,False,2015
2004-05-20 18:02:00+00:00,THEFT,16,False,2004
2020-08-01 17:49:00+00:00,THEFT,16,False,2020
2001-04-02 20:45:00+00:00,THEFT,18,False,2001
2009-06-23 17:30:00+00:00,DECEPTIVE PRACTICE,18,False,2009
2024-07-27 22:00:00+00:00,CRIMINAL DAMAGE,18,False,2024
2019-07-27 02:00:00+00:00,CRIMINAL SEXUAL ASSAULT,18,False,2019
2006-11-23 14:00:00+00:00,BATTERY,18,False,2006
2021-01-01 14:59:00+00:00,WEAPONS VIOLATION,18,True,2021
2010-05-10 10:41:00+00:00,ROBBERY,18,True,2010
2002-06-16 22:30:00+00:00,CRIMINAL DAMAGE,19,False,2002
2016-02-03 12:00:00+00:00,DECEPTIVE PRACTICE,19,False,2016
2014-06-09 13:00:00+00:00,THEFT,19,False,2014
2013-02-04 19:20:00+00:00,THEFT,19,False,2013
2014-06-23 23:00:00+00:00,THEFT,19,False,2014
2009-03-14 15:37:00+00:00,BATTERY,19,True,2009
2016-09-18 08:00:00+00:00,ASSAULT,19,False,2016
2003-10-22 00:00:00+00:00,THEFT,20,False,2003
2024-11-26 20:43:00+00:00,BATTERY,20,False,2024
2002-08-28 23:10:00+00:00,THEFT,2,True,2002
2012-01-05 22:19:00+00:00,OTHER OFFENSE,2,False,2012
2001-07-07 08:40:00+00:00,BATTERY,24,False,2001
2011-02-26 13:30:00+00:00,BATTERY,24,True,2011
